Date,S&P 500 w/ Div,Beta Portfolio,Fund 1,Fund 2,Fund 3
2014-08-31,0.0400049212,0.03986672122306447,0.0192330744,0.0233,0.0059
2014-07-31,-0.01379096,-0.012184716754714735,-0.0239999817,-0.0117,-0.0093
2014-06-30,0.0206574858,0.0067786940117726,0.0260001486,-0.0004,0.0007
2014-05-31,0.0234741425,0.002961157587483946,0.019999797,-0.0106,0.0028
2014-04-30,0.0073920616,0.01771825475646826,0.0099998131,-0.0199,0.0106
2014-03-31,0.0084056885,0.0031383302002451763,0.0080001604,-0.0007,0.0074
2014-02-28,0.0457438912,0.025931463880629356,0.0339998782,0.0126,0.0097
2014-01-31,-0.0345739892,-0.02874043389914667,0.0110002187,0.0106,0.0061
2013-12-31,0.0253160447,-0.004524714589249973,0.0189999222,0.0105,0.0102
2013-11-30,0.0304739507,0.034767771887002204,-0.0050000358,-0.003,0.0115
2013-10-31,0.0459675906,0.03181993250251363,0.0210002459,0.0254,0.0076
2013-09-30,0.0313597151,0.03382506551323643,0.0250002499,-0.0356,0.0038
2013-08-31,-0.0289616906,-0.022368566185332762,-0.0189998616,-0.0082,0.0111
2013-07-31,0.0508843209,0.039080306730288214,0.0429999271,0.0121,0.0038
2013-06-30,-0.0134287882,-0.0028796286301517645,-0.0090003562,0.0053,-0.0047
2013-05-31,0.0233918522,0.03524263494783033,0.0329999192,0.0113,0.0199
2013-04-30,0.0192664392,-0.00044149150870984033,0.0299997225,-0.0005,0.0064
2013-03-31,0.0375033849,0.0382172419244519,0.0230002612,0.0357,0.0099
2013-02-28,0.0135747208,0.0008323043825625796,0.0170002178,0.0031,0.0136
2013-01-31,0.0517951497,0.07155562160641409,0.0549996096,0.0385,0.0091
2012-12-31,0.0091146746,-0.018802100680307562,0.0069997365,0.0202,0.0101
2012-11-30,0.0058009944,-0.008278604938298116,0.0240001613,0.0178,0.0048
2012-10-31,-0.0184643462,-0.01091875156391812,0.0099996702,-0.0006,0.009
2012-09-30,0.0258418557,0.03562773062842712,0.033,-0.015,0.0076
2012-08-31,0.0225225526,0.028644383785303977,-0.002,0.0121,0.0094
